employee_id,name,department,position,hire_date,exit_date,is_active,salary_band,region
EMP-00110,Karyawan-00110,Operations,Store Manager,2022-02-19,,1,Band-3,Bandung
EMP-00111,Karyawan-00111,Operations,Asisten Apoteker,2022-08-07,,1,Band-1,Jakarta
EMP-00112,Karyawan-00112,Operations,Kasir,2025-04-05,2025-04-17,0,Band-1,Jakarta
EMP-00113,Karyawan-00113,Operations,Apoteker,2025-04-25,,1,Band-1,Medan
EMP-00114,Karyawan-00114,Operations,Area Supervisor,2019-01-27,2025-08-22,0,Band-1,Lainnya
EMP-00115,Karyawan-00115,Operations,Kasir,2021-02-03,,1,Band-4,Jakarta
EMP-00116,Karyawan-00116,Operations,Store Manager,2022-03-10,,1,Band-3,Lainnya
EMP-00117,Karyawan-00117,Operations,Kasir,2023-03-23,,1,Band-1,Surabaya
EMP-00118,Karyawan-00118,Operations,Asisten Apoteker,2024-05-27,,1,Band-2,Lainnya
EMP-00119,Karyawan-00119,Operations,Store Manager,2023-02-03,,1,Band-1,Jakarta
EMP-00120,Karyawan-00120,Operations,Kasir,2022-07-21,,1,Band-3,Surabaya
EMP-00121,Karyawan-00121,Operations,Area Supervisor,2022-03-03,,1,Band-3,Surabaya
EMP-00122,Karyawan-00122,Operations,Store Manager,2019-01-22,,1,Band-4,Surabaya
EMP-00123,Karyawan-00123,Operations,Area Supervisor,2025-07-05,,1,Band-3,Medan
EMP-00124,Karyawan-00124,Operations,Apoteker,2023-03-25,,1,Band-1,Lainnya
EMP-00125,Karyawan-00125,Operations,Kasir,2021-12-04,,1,Band-2,Surabaya
EMP-00126,Karyawan-00126,Operations,Kasir,2015-12-01,,1,Band-2,Medan
EMP-00127,Karyawan-00127,Operations,Area Supervisor,2021-01-09,,1,Band-1,Jakarta
EMP-00128,Karyawan-00128,Operations,Asisten Apoteker,2023-01-06,,1,Band-2,Makassar
EMP-00129,Karyawan-00129,Operations,Kasir,2020-05-28,,1,Band-1,Makassar
EMP-00130,Karyawan-00130,Operations,Apoteker,2022-12-10,,1,Band-1,Lainnya
EMP-00131,Karyawan-00131,Operations,Area Supervisor,2024-07-01,,1,Band-3,Surabaya
EMP-00132,Karyawan-00132,Operations,Store Manager,2015-04-28,,1,Band-2,Lainnya
EMP-00133,Karyawan-00133,Operations,Kasir,2024-11-08,2025-10-05,0,Band-2,Bandung
EMP-00134,Karyawan-00134,Operations,Kasir,2023-09-13,,1,Band-3,Bandung
EMP-00135,Karyawan-00135,Operations,Area Supervisor,2019-06-08,,1,Band-1,Medan
EMP-00136,Karyawan-00136,Operations,Asisten Apoteker,2024-07-23,,1,Band-5,Makassar
EMP-00137,Karyawan-00137,Operations,Apoteker,2023-01-07,,1,Band-2,Lainnya
EMP-00138,Karyawan-00138,Operations,Apoteker,2022-03-12,2025-06-21,0,Band-3,Makassar
EMP-00139,Karyawan-00139,Operations,Apoteker,2025-09-24,,1,Band-3,Makassar
EMP-00140,Karyawan-00140,Operations,Kasir,2018-01-22,,1,Band-1,Medan
EMP-00141,Karyawan-00141,Operations,Apoteker,2024-06-16,2025-07-08,0,Band-1,Makassar
EMP-00142,Karyawan-00142,Operations,Asisten Apoteker,2022-12-11,,1,Band-5,Semarang
EMP-00143,Karyawan-00143,Operations,Area Supervisor,2020-06-19,,1,Band-2,Jakarta
EMP-00144,Karyawan-00144,Operations,Store Manager,2024-04-05,,1,Band-1,Medan
EMP-00145,Karyawan-00145,Operations,Area Supervisor,2025-04-01,,1,Band-1,Jakarta
EMP-00146,Karyawan-00146,Operations,Kasir,2025-10-06,,1,Band-2,Medan
EMP-00147,Karyawan-00147,Operations,Apoteker,2017-08-04,,1,Band-2,Lainnya
EMP-00148,Karyawan-00148,Operations,Store Manager,2018-10-16,,1,Band-1,Medan
EMP-00149,Karyawan-00149,Operations,Area Supervisor,2024-07-15,,1,Band-4,Makassar
EMP-00150,Karyawan-00150,Operations,Apoteker,2025-06-25,,1,Band-3,Lainnya
EMP-00151,Karyawan-00151,Operations,Store Manager,2023-12-07,,1,Band-2,Makassar
EMP-00152,Karyawan-00152,Operations,Area Supervisor,2023-02-28,,1,Band-4,Surabaya
EMP-00153,Karyawan-00153,Operations,Asisten Apoteker,2023-11-25,,1,Band-5,Jakarta
EMP-00154,Karyawan-00154,Operations,Apoteker,2022-04-02,,1,Band-2,Semarang
EMP-00155,Karyawan-00155,Operations,Asisten Apoteker,2021-03-25,,1,Band-5,Makassar
EMP-00156,Karyawan-00156,Operations,Kasir,2021-03-25,,1,Band-3,Semarang
EMP-00157,Karyawan-00157,Operations,Store Manager,2024-09-26,,1,Band-2,Bandung
EMP-00158,Karyawan-00158,Operations,Apoteker,2018-11-27,,1,Band-2,Lainnya
EMP-00159,Karyawan-00159,Operations,Apoteker,2021-01-13,,1,Band-4,Jakarta
EMP-00160,Karyawan-00160,Operations,Store Manager,2015-06-28,,1,Band-2,Surabaya
EMP-00161,Karyawan-00161,Operations,Apoteker,2024-09-19,,1,Band-1,Lainnya
EMP-00162,Karyawan-00162,Operations,Asisten Apoteker,2023-01-05,,1,Band-3,Lainnya
EMP-00163,Karyawan-00163,Operations,Kasir,2022-09-03,,1,Band-1,Semarang
EMP-00164,Karyawan-00164,Operations,Kasir,2023-02-01,,1,Band-2,Makassar
EMP-00165,Karyawan-00165,Operations,Asisten Apoteker,2024-11-27,,1,Band-4,Semarang
EMP-00166,Karyawan-00166,Operations,Asisten Apoteker,2017-10-04,,1,Band-1,Semarang
EMP-00167,Karyawan-00167,Operations,Kasir,2023-03-22,,1,Band-3,Surabaya
EMP-00168,Karyawan-00168,Operations,Area Supervisor,2023-11-22,,1,Band-4,Bandung
EMP-00169,Karyawan-00169,Operations,Apoteker,2019-12-25,,1,Band-3,Makassar
EMP-00170,Karyawan-00170,Operations,Apoteker,2018-05-25,,1,Band-1,Medan
EMP-00171,Karyawan-00171,Operations,Store Manager,2022-09-10,,1,Band-2,Medan
EMP-00172,Karyawan-00172,Operations,Kasir,2022-10-01,,1,Band-1,Semarang
EMP-00173,Karyawan-00173,Operations,Kasir,2021-11-04,,1,Band-2,Makassar
EMP-00174,Karyawan-00174,Operations,Apoteker,2020-04-05,,1,Band-2,Bandung
EMP-00175,Karyawan-00175,Operations,Area Supervisor,2021-02-13,,1,Band-1,Lainnya
EMP-00176,Karyawan-00176,Operations,Area Supervisor,2022-06-25,,1,Band-1,Bandung
EMP-00177,Karyawan-00177,Operations,Store Manager,2024-10-14,,1,Band-2,Semarang
EMP-00178,Karyawan-00178,Operations,Kasir,2020-07-28,,1,Band-1,Makassar
EMP-00179,Karyawan-00179,Operations,Area Supervisor,2018-08-17,,1,Band-5,Lainnya
EMP-00180,Karyawan-00180,Operations,Store Manager,2023-12-01,,1,Band-1,Medan
EMP-00181,Karyawan-00181,Operations,Store Manager,2024-02-14,,1,Band-2,Semarang
EMP-00182,Karyawan-00182,Operations,Store Manager,2022-02-17,,1,Band-3,Makassar
EMP-00183,Karyawan-00183,Operations,Store Manager,2015-05-16,,1,Band-1,Jakarta
EMP-00184,Karyawan-00184,Operations,Apoteker,2023-08-19,,1,Band-3,Medan
EMP-00185,Karyawan-00185,Operations,Area Supervisor,2019-02-03,,1,Band-1,Surabaya
EMP-00186,Karyawan-00186,Operations,Apoteker,2023-06-09,,1,Band-1,Medan
EMP-00187,Karyawan-00187,Operations,Asisten Apoteker,2021-07-15,,1,Band-2,Semarang
EMP-00188,Karyawan-00188,Operations,Store Manager,2020-12-21,,1,Band-3,Medan
EMP-00189,Karyawan-00189,Operations,Area Supervisor,2022-08-10,,1,Band-3,Semarang
EMP-00190,Karyawan-00190,Operations,Apoteker,2022-10-13,,1,Band-2,Surabaya
EMP-00191,Karyawan-00191,Operations,Kasir,2022-07-07,,1,Band-2,Semarang
EMP-00192,Karyawan-00192,Operations,Store Manager,2024-06-27,,1,Band-1,Semarang
EMP-00193,Karyawan-00193,Operations,Asisten Apoteker,2024-05-22,,1,Band-1,Lainnya
EMP-00194,Karyawan-00194,Operations,Area Supervisor,2017-11-05,,1,Band-2,Bandung
EMP-00195,Karyawan-00195,Operations,Apoteker,2019-02-09,,1,Band-2,Medan
EMP-00196,Karyawan-00196,Operations,Kasir,2023-02-02,,1,Band-1,Bandung
EMP-00197,Karyawan-00197,Operations,Kasir,2023-05-16,,1,Band-1,Lainnya
EMP-00198,Karyawan-00198,Operations,Area Supervisor,2023-11-16,,1,Band-1,Surabaya
EMP-00199,Karyawan-00199,Operations,Asisten Apoteker,2019-09-16,2025-07-05,0,Band-2,Semarang
EMP-00200,Karyawan-00200,Operations,Asisten Apoteker,2018-12-03,2025-11-14,0,Band-2,Medan
EMP-00201,Karyawan-00201,Operations,Asisten Apoteker,2023-09-02,,1,Band-2,Jakarta
EMP-00202,Karyawan-00202,Operations,Kasir,2022-11-25,,1,Band-1,Jakarta
EMP-00203,Karyawan-00203,Operations,Area Supervisor,2021-05-20,2025-06-17,0,Band-1,Semarang
EMP-00204,Karyawan-00204,Operations,Area Supervisor,2022-03-15,,1,Band-2,Jakarta
EMP-00205,Karyawan-00205,Operations,Store Manager,2025-01-24,,1,Band-3,Surabaya
EMP-00206,Karyawan-00206,Operations,Apoteker,2021-01-06,,1,Band-4,Medan
EMP-00207,Karyawan-00207,Operations,Store Manager,2025-10-13,,1,Band-3,Surabaya
EMP-00208,Karyawan-00208,Operations,Store Manager,2022-01-25,,1,Band-2,Lainnya
EMP-00209,Karyawan-00209,Operations,Kasir,2019-05-08,,1,Band-3,Jakarta
EMP-00210,Karyawan-00210,Operations,Store Manager,2023-09-13,,1,Band-2,Bandung
EMP-00211,Karyawan-00211,Operations,Store Manager,2024-09-18,,1,Band-2,Surabaya
EMP-00212,Karyawan-00212,Operations,Area Supervisor,2025-10-20,,1,Band-2,Surabaya
EMP-00213,Karyawan-00213,Operations,Store Manager,2024-12-13,,1,Band-1,Jakarta
EMP-00214,Karyawan-00214,Operations,Area Supervisor,2025-05-03,,1,Band-4,Makassar
EMP-00215,Karyawan-00215,Operations,Kasir,2021-08-16,,1,Band-3,Semarang
EMP-00216,Karyawan-00216,Operations,Apoteker,2025-04-27,,1,Band-2,Jakarta
EMP-00217,Karyawan-00217,Operations,Area Supervisor,2024-11-16,,1,Band-3,Lainnya
EMP-00218,Karyawan-00218,Operations,Store Manager,2019-03-08,,1,Band-2,Semarang
EMP-00219,Karyawan-00219,Operations,Apoteker,2019-09-18,,1,Band-2,Makassar
EMP-00220,Karyawan-00220,Operations,Area Supervisor,2025-12-08,,1,Band-4,Medan
EMP-00221,Karyawan-00221,Operations,Kasir,2022-08-15,,1,Band-4,Jakarta
EMP-00222,Karyawan-00222,Operations,Asisten Apoteker,2018-07-01,,1,Band-2,Bandung
EMP-00223,Karyawan-00223,Operations,Store Manager,2024-01-17,,1,Band-1,Jakarta
EMP-00224,Karyawan-00224,Operations,Kasir,2022-11-11,,1,Band-2,Medan
EMP-00225,Karyawan-00225,Operations,Apoteker,2019-10-17,,1,Band-3,Makassar
EMP-00226,Karyawan-00226,Operations,Area Supervisor,2025-05-27,,1,Band-2,Medan
EMP-00227,Karyawan-00227,Operations,Store Manager,2023-10-02,,1,Band-1,Semarang
EMP-00228,Karyawan-00228,Operations,Store Manager,2024-04-04,2025-09-08,0,Band-1,Makassar
EMP-00229,Karyawan-00229,Operations,Store Manager,2017-08-03,,1,Band-4,Jakarta
EMP-00230,Karyawan-00230,Operations,Apoteker,2025-05-16,2025-07-01,0,Band-3,Medan
EMP-00231,Karyawan-00231,Operations,Area Supervisor,2015-01-23,,1,Band-2,Medan
EMP-00232,Karyawan-00232,Operations,Store Manager,2021-07-26,,1,Band-1,Surabaya
EMP-00233,Karyawan-00233,Operations,Kasir,2024-07-16,,1,Band-2,Makassar
EMP-00234,Karyawan-00234,Operations,Store Manager,2024-04-06,2025-02-17,0,Band-2,Lainnya
EMP-00235,Karyawan-00235,Operations,Asisten Apoteker,2015-03-07,,1,Band-4,Jakarta
EMP-00236,Karyawan-00236,Operations,Apoteker,2020-05-27,,1,Band-1,Bandung
EMP-00237,Karyawan-00237,Operations,Apoteker,2022-12-25,,1,Band-1,Semarang
EMP-00238,Karyawan-00238,Operations,Asisten Apoteker,2023-10-06,,1,Band-1,Lainnya
EMP-00239,Karyawan-00239,Operations,Apoteker,2024-01-25,2025-01-09,0,Band-3,Makassar
EMP-00240,Karyawan-00240,Operations,Area Supervisor,2022-02-05,,1,Band-4,Jakarta
EMP-00241,Karyawan-00241,Operations,Asisten Apoteker,2019-11-02,,1,Band-1,Semarang
EMP-00242,Karyawan-00242,Operations,Area Supervisor,2025-03-23,,1,Band-3,Makassar
EMP-00243,Karyawan-00243,Operations,Kasir,2024-03-26,,1,Band-3,Surabaya
EMP-00244,Karyawan-00244,Operations,Area Supervisor,2022-11-24,,1,Band-2,Lainnya
EMP-00245,Karyawan-00245,Operations,Store Manager,2017-06-07,,1,Band-3,Bandung
EMP-00246,Karyawan-00246,Operations,Area Supervisor,2023-04-18,,1,Band-2,Bandung
EMP-00247,Karyawan-00247,Operations,Apoteker,2019-12-05,,1,Band-1,Bandung
EMP-00248,Karyawan-00248,Operations,Area Supervisor,2019-11-03,,1,Band-2,Jakarta
EMP-00249,Karyawan-00249,Operations,Apoteker,2021-07-18,,1,Band-2,Lainnya
EMP-00250,Karyawan-00250,Operations,Apoteker,2022-03-19,,1,Band-2,Lainnya
EMP-00251,Karyawan-00251,Operations,Kasir,2015-02-22,,1,Band-2,Jakarta
EMP-00252,Karyawan-00252,Operations,Apoteker,2024-12-26,,1,Band-3,Surabaya
EMP-00253,Karyawan-00253,Operations,Kasir,2021-11-12,,1,Band-2,Medan
EMP-00254,Karyawan-00254,Operations,Kasir,2025-11-25,,1,Band-2,Lainnya
EMP-00255,Karyawan-00255,Operations,Asisten Apoteker,2025-04-18,,1,Band-3,Semarang
EMP-00256,Karyawan-00256,Operations,Area Supervisor,2021-03-03,,1,Band-2,Bandung
EMP-00257,Karyawan-00257,Operations,Apoteker,2024-03-17,,1,Band-5,Lainnya
EMP-00258,Karyawan-00258,Operations,Asisten Apoteker,2024-05-04,2025-01-14,0,Band-4,Medan
EMP-00259,Karyawan-00259,Operations,Kasir,2023-09-11,2025-08-22,0,Band-2,Medan
EMP-00260,Karyawan-00260,Operations,Kasir,2018-02-17,,1,Band-1,Bandung
EMP-00261,Karyawan-00261,Operations,Asisten Apoteker,2025-02-26,2025-12-06,0,Band-1,Medan
EMP-00262,Karyawan-00262,Operations,Asisten Apoteker,2021-05-22,,1,Band-2,Medan
EMP-00263,Karyawan-00263,Operations,Kasir,2023-09-22,,1,Band-5,Makassar
EMP-00264,Karyawan-00264,Operations,Apoteker,2025-01-05,,1,Band-3,Lainnya
EMP-00265,Karyawan-00265,Operations,Asisten Apoteker,2022-09-19,,1,Band-3,Makassar
EMP-00266,Karyawan-00266,Operations,Area Supervisor,2024-11-11,,1,Band-2,Medan
EMP-00267,Karyawan-00267,Operations,Area Supervisor,2021-03-19,,1,Band-1,Semarang
EMP-00268,Karyawan-00268,Operations,Apoteker,2022-04-26,,1,Band-2,Medan
EMP-00269,Karyawan-00269,Operations,Apoteker,2023-10-24,,1,Band-3,Jakarta
EMP-00270,Karyawan-00270,Operations,Store Manager,2021-01-05,2025-11-17,0,Band-1,Medan
EMP-00271,Karyawan-00271,Operations,Asisten Apoteker,2022-04-15,2025-09-23,0,Band-3,Surabaya
EMP-00272,Karyawan-00272,Operations,Apoteker,2021-09-28,,1,Band-4,Bandung
EMP-00273,Karyawan-00273,Operations,Area Supervisor,2022-02-27,,1,Band-2,Medan
EMP-00274,Karyawan-00274,Operations,Kasir,2022-12-11,2025-10-25,0,Band-4,Makassar
EMP-00275,Karyawan-00275,Operations,Area Supervisor,2024-09-15,,1,Band-2,Medan
EMP-00276,Karyawan-00276,Operations,Apoteker,2019-08-19,,1,Band-1,Medan
EMP-00277,Karyawan-00277,Operations,Kasir,2021-08-17,,1,Band-4,Makassar
EMP-00278,Karyawan-00278,Operations,Kasir,2021-08-05,,1,Band-1,Bandung
EMP-00279,Karyawan-00279,Operations,Asisten Apoteker,2023-04-18,,1,Band-2,Jakarta
EMP-00280,Karyawan-00280,Operations,Store Manager,2023-03-11,,1,Band-1,Jakarta
EMP-00281,Karyawan-00281,Operations,Asisten Apoteker,2024-04-09,,1,Band-4,Makassar
EMP-00282,Karyawan-00282,Operations,Kasir,2024-05-27,2025-09-08,0,Band-1,Bandung
EMP-00283,Karyawan-00283,Operations,Asisten Apoteker,2018-05-18,,1,Band-1,Bandung
EMP-00284,Karyawan-00284,Operations,Area Supervisor,2015-06-08,,1,Band-3,Surabaya
EMP-00285,Karyawan-00285,Operations,Apoteker,2025-08-24,,1,Band-2,Makassar
EMP-00286,Karyawan-00286,Operations,Area Supervisor,2021-02-05,,1,Band-3,Lainnya
EMP-00287,Karyawan-00287,Operations,Apoteker,2022-03-18,2025-09-28,0,Band-2,Lainnya
EMP-00288,Karyawan-00288,Operations,Apoteker,2015-04-01,,1,Band-1,Surabaya
EMP-00289,Karyawan-00289,Operations,Asisten Apoteker,2025-06-14,2025-11-23,0,Band-1,Jakarta
EMP-00290,Karyawan-00290,Operations,Apoteker,2024-08-08,,1,Band-1,Bandung
EMP-00291,Karyawan-00291,Operations,Asisten Apoteker,2021-03-28,,1,Band-2,Semarang
